video,cosine
01-01-01,0.525298
01-01-02,0.28259
01-01-03,0.405836
01-02-01,0.466233
01-02-02,0.67201
01-03-01,0.100989
01-03-02,0.617991
01-03-03,0.697631
01-03-04,0.49907
01-03-05,0.436157
01-03-06,0.498996
01-04-01,0.389245
01-04-02,0.194062
01-05-01,0.493071
01-05-02,0.620752
01-05-03,0.552559
01-05-04,0.328729
01-05-05,0.365813
01-05-06,0.447862
01-05-07,0.420079
01-06-01,0.668466
01-06-02,0.490794
01-07-01,0.417582
01-07-02,0.66024
01-07-03,0.434251
01-07-04,0.59243
01-08-01,0.376934
01-08-02,0.373198
01-09-01,0.32838
01-09-02,0.344618
01-09-03,0.261532
01-09-04,0.394199
01-09-05,-1
01-09-06,0.609304
01-10-01,0.46706
01-10-02,0.393665
01-10-03,0.495428
01-10-04,0.511834
01-10-05,0.386722
