01-01-01,58;171;171;846;183;390;157;757;171;60;172;171;60;157;157;179;171;58;157;618;157;169;996;1140;748;51;169;272
01-01-02,175;398;535;885;535;440;825
01-01-03,175;1231;74;278;3;1190;157;171
01-02-01,157;278;757;1184;171;60;252;58;757;176;13;11;611;610;457;1029;611;12;49;1375;610;1375;278;1184;398;278
01-02-02,1184;171;1404;157
01-03-01,356;278
01-03-02,11;1253;1253;524;252;1423;238;252;1253;278;517;238;238;252;1375;11;49;1184;147;147;1190;1414;1184
01-03-03,179;337;183;337;58;278;179;49;252;157;337;30;1375;233;356;278;252;58;337;390;337;599;42;49;51;524
01-03-04,524;1423;252;621;252;272;60;524;1414;49;524;272;524;535;956;252;252;252;524;243;252;390;60;379;237;252;238;621
01-03-05,571;60;30;238;238;1375;1375;147;147;40;60;147;147
01-03-06,524;72;216;72;252;860;252;392;19;611;524;146;58;846;183;58;183;337;278;278;252;379;72;390;57;390;278;278;63;147;884;278;1534;147;492;278;183;216;1375;278
01-04-01,1184;171;272
01-04-02,1184;171;175;272
01-05-01,206;157;96;169;1427;507;275;123;178;278
01-05-02,131;957;157;757;171;157;571;956;756;524;178;171;299;176
01-05-03,278;58;183;956;1375;157;275;278
01-05-04,178
01-05-05,278;490;374;176;275;278;58;486;169
01-05-06,60;178;278;756;1009;337;58
01-05-07,507;507;272;176;278;254;278;30;1375
01-06-01,216;183;58;398;60;183;505;1231;3;60;278;183;147;147;479;278;183;524;524
01-06-02,535;1306;825;748;196
01-07-01,1427;1140;504;535;252;243;258;390;278;60;505;49;183;1184;356;252;278
01-07-02,252;1423;617;252
01-07-03,1253;621;252;147;490;956;238;1414;278
01-07-04,30;1375;147;147;63;1375;11;147;238;252
01-08-01,169;956;13;1404;374
01-08-02,169;956;13
01-09-01,179;846;183;623;58;542;3;278;3;1292
01-09-02,30;1292;179
01-09-03,70;390;1292;3;196
01-09-04,1440;3;148;183
01-09-05,183;233;3;398
01-09-06,1375;1292;3;462;1187;179;30
01-10-01,623;398;206;171;840;206;276
01-10-02,722;172;611;147;147;30
01-10-03,171;623;206;278;183;3;398;1140;58;1427;611;621;72;837;278;491;252;278;1253;169;96;58
01-10-04,179;390;278;252;183;93;238;398;49;398;278;1292;96;58;278;206;183;238;238
01-10-05,58;114;216;278;157;272;756
