name,#sentences,#distinct_frames,#distinct_fes,avg_frame_sentence,avg_fe_sentence
Reporter_Brasil_02_13,22,80,214,3.6364,9.7273
Reporter_Brasil_02_14,23,105,271,4.5652,11.7826
Reporter_Brasil_03_11,28,88,217,3.1429,7.7500
Reporter_Brasil_03_12,27,85,206,3.1481,7.6296
Reporter_Brasil_04_01,49,99,218,2.0204,4.4490
Reporter_Brasil_04_06,10,26,61,2.6000,6.1000
Reporter_Brasil_05_01,15,51,109,3.4000,7.2667
Reporter_Brasil_05_02,26,93,211,3.5769,8.1154
Reporter_Brasil_05_03,20,83,207,4.1500,10.3500
Reporter_Brasil_07_02,22,104,308,4.7273,14.0000
Reporter_Brasil_07_03,13,75,220,5.7692,16.9231
Reporter_Brasil_07_07,20,82,224,4.1000,11.2000
