"Document Name","number of sentences","avg sentence length","avg time DS1","avg time DS2","time difference"
Reporter_Brasil_02_13,20,82.1,561.8,562.2,-0.4
Reporter_Brasil_02_14,14,152.64,1140.79,662,478.79
Reporter_Brasil_03_11,26,101.58,274.19,593.38,-319.19
Reporter_Brasil_03_12,21,80.14,165.62,276.86,-111.24
Reporter_Brasil_04_01,43,88.07,1150.49,194.33,956.16
Reporter_Brasil_04_03,4,116,3568.5,112.25,3456.25
Reporter_Brasil_04_06,7,101.29,969,380.71,588.29
Reporter_Brasil_05_01,13,91.08,1614.77,2287.23,-672.46
Reporter_Brasil_05_02,26,104.5,1415.77,1088.08,327.69
Reporter_Brasil_05_03,3,129.33,1227,343,884
Reporter_Brasil_07_02,20,116,816.7,1176.8,-360.1
Reporter_Brasil_07_03,13,135.85,825.92,1060.62,-234.69
Reporter_Brasil_07_07,19,107.11,611.47,713.26,-101.79
