"Document Name","Document ID",Corpus,"Total AS Count","Status ACCEPTED Count","Status CREATED Count","Status DELETED Count","Status UPDATED Count","Total Annotations"
Reporter_Brasil_03_11,19828,Reporter_Brasil_LREC2026_eval,230,7,18,64,141,166
Reporter_Brasil_03_12,19831,Reporter_Brasil_LREC2026_eval,228,2,18,58,150,170
Reporter_Brasil_02_13,19834,Reporter_Brasil_LREC2026_eval,161,0,25,15,121,146
Reporter_Brasil_02_14,19837,Reporter_Brasil_LREC2026_eval,276,0,18,39,219,237
Reporter_Brasil_04_01,19840,Reporter_Brasil_LREC2026_eval,320,20,68,59,173,261
Reporter_Brasil_04_06,19846,Reporter_Brasil_LREC2026_eval,80,2,4,11,63,69
Reporter_Brasil_05_01,19849,Reporter_Brasil_LREC2026_eval,113,24,7,10,72,103
Reporter_Brasil_05_02,19852,Reporter_Brasil_LREC2026_eval,222,47,5,41,129,181
Reporter_Brasil_05_03,19855,Reporter_Brasil_LREC2026_eval,139,27,19,10,83,129
Reporter_Brasil_07_02,19858,Reporter_Brasil_LREC2026_eval,253,4,8,79,162,174
Reporter_Brasil_07_03,19861,Reporter_Brasil_LREC2026_eval,182,2,9,54,117,128
Reporter_Brasil_07_07,19864,Reporter_Brasil_LREC2026_eval,229,5,11,73,140,156
