Document Name,Total AS Count,Operation C Count,Operation C Automatic,Operation C Human,Total Annotations
Reporter_Brasil_03_11,245,397,56,341,397
Reporter_Brasil_03_12,237,387,54,333,387
Reporter_Brasil_02_13,163,353,84,269,353
Reporter_Brasil_02_14,276,534,98,436,534
Reporter_Brasil_04_01,320,448,154,294,448
Reporter_Brasil_04_06,80,147,19,128,147
Reporter_Brasil_05_01,113,185,50,135,185
Reporter_Brasil_05_02,222,355,79,276,355
Reporter_Brasil_05_03,139,293,103,190,293
Reporter_Brasil_07_02,253,470,40,430,470
Reporter_Brasil_07_03,182,320,17,303,320
Reporter_Brasil_07_07,229,368,20,348,368
